customer_id,month,acquisition_channel,region,age_band,account_tier,monthly_fee,joined_on_promo
80,2022-01,Comparison Site,Scotland,35-44,Silver,11,FALSE
81,2022-01,Comparison Site,Midlands,18-24,Gold,0,TRUE
82,2022-01,Outbound,South East,35-44,Classic,0,TRUE
83,2022-01,Broker/IFA,London,18-24,Classic,0,FALSE
84,2022-01,Comparison Site,South East,25-34,Classic,0,FALSE
85,2022-01,Online,North,35-44,Gold,0,TRUE
86,2022-01,Comparison Site,South East,35-44,Silver,11,FALSE
87,2022-01,Branch,Midlands,35-44,Gold,18,FALSE
88,2022-01,Branch,London,35-44,Gold,18,FALSE
89,2022-01,Comparison Site,London,25-34,Classic,0,FALSE
90,2022-01,Online,Scotland,55-64,Classic,0,FALSE
91,2022-01,Online,London,35-44,Gold,0,TRUE
92,2022-01,Comparison Site,Midlands,45-54,Classic,0,FALSE
93,2022-01,Online,London,18-24,Platinum,28,FALSE
94,2022-01,Online,South East,18-24,Silver,0,TRUE
95,2022-01,Branch,Wales & NI,25-34,Silver,0,TRUE
96,2022-01,Comparison Site,Scotland,45-54,Classic,0,TRUE
97,2022-01,Branch,South East,55-64,Gold,18,FALSE
98,2022-01,Comparison Site,North,35-44,Silver,11,FALSE
99,2022-01,Branch,South East,18-24,Gold,18,FALSE
100,2022-01,Branch,South East,25-34,Platinum,28,FALSE
101,2022-01,Referral,Midlands,45-54,Classic,0,TRUE
102,2022-01,Online,South East,25-34,Classic,0,TRUE
103,2022-01,Comparison Site,South East,35-44,Gold,0,TRUE
104,2022-01,Outbound,North,35-44,Silver,0,TRUE
105,2022-01,Referral,North,18-24,Gold,0,TRUE
106,2022-01,Comparison Site,North,35-44,Classic,0,FALSE
107,2022-01,Comparison Site,London,45-54,Classic,0,TRUE
108,2022-01,Comparison Site,South East,35-44,Silver,0,TRUE
109,2022-01,Branch,London,55-64,Classic,0,FALSE
110,2022-01,Referral,South East,18-24,Classic,0,TRUE
111,2022-01,Referral,North,25-34,Silver,0,TRUE
112,2022-01,Online,London,25-34,Platinum,28,FALSE
113,2022-01,Referral,North,35-44,Gold,18,FALSE
114,2022-01,Comparison Site,North,18-24,Classic,0,FALSE
115,2022-01,Comparison Site,Midlands,25-34,Silver,0,TRUE
116,2022-01,Comparison Site,South East,35-44,Classic,0,TRUE
117,2022-01,Comparison Site,South East,18-24,Platinum,0,TRUE
118,2022-01,Comparison Site,Scotland,25-34,Classic,0,TRUE
119,2022-01,Comparison Site,South East,35-44,Classic,0,FALSE
120,2022-01,Outbound,Midlands,55-64,Silver,11,FALSE
121,2022-01,Comparison Site,North,25-34,Classic,0,TRUE
122,2022-01,Comparison Site,Scotland,25-34,Silver,0,TRUE
123,2022-01,Comparison Site,London,55-64,Silver,0,TRUE
124,2022-01,Comparison Site,North,45-54,Classic,0,TRUE
125,2022-01,Outbound,London,18-24,Classic,0,FALSE
126,2022-01,Outbound,London,45-54,Silver,0,TRUE
127,2022-01,Online,South East,35-44,Silver,0,TRUE
128,2022-01,Broker/IFA,Midlands,25-34,Gold,18,FALSE
129,2022-01,Comparison Site,Midlands,35-44,Silver,11,FALSE
130,2022-01,Outbound,North,35-44,Silver,11,FALSE
131,2022-01,Comparison Site,North,25-34,Silver,11,FALSE
132,2022-01,Branch,North,25-34,Platinum,28,FALSE
133,2022-01,Branch,Wales & NI,45-54,Gold,18,FALSE
134,2022-01,Outbound,London,45-54,Silver,0,TRUE
135,2022-01,Comparison Site,Wales & NI,25-34,Classic,0,FALSE
136,2022-01,Referral,London,25-34,Silver,11,FALSE
137,2022-01,Referral,South East,25-34,Platinum,28,FALSE
138,2022-01,Branch,Wales & NI,25-34,Silver,11,FALSE
139,2022-01,Outbound,Wales & NI,55-64,Classic,0,FALSE
140,2022-01,Branch,North,45-54,Gold,18,FALSE
141,2022-01,Referral,Wales & NI,35-44,Gold,18,FALSE
142,2022-01,Comparison Site,London,65+,Gold,18,FALSE
143,2022-01,Comparison Site,Midlands,35-44,Classic,0,FALSE
144,2022-01,Branch,North,35-44,Silver,11,FALSE
145,2022-01,Broker/IFA,Scotland,55-64,Platinum,28,FALSE
146,2022-01,Comparison Site,Midlands,35-44,Classic,0,TRUE
147,2022-01,Comparison Site,London,25-34,Classic,0,FALSE
148,2022-01,Outbound,North,35-44,Gold,0,TRUE
149,2022-01,Branch,South East,35-44,Classic,0,FALSE
150,2022-01,Online,Wales & NI,18-24,Classic,0,TRUE
151,2022-01,Broker/IFA,North,25-34,Gold,18,FALSE
152,2022-01,Referral,Midlands,35-44,Platinum,28,FALSE
153,2022-01,Outbound,Wales & NI,45-54,Silver,0,TRUE
154,2022-01,Online,Scotland,25-34,Silver,0,TRUE
155,2022-01,Comparison Site,London,25-34,Silver,0,TRUE
156,2022-01,Comparison Site,Midlands,35-44,Silver,0,TRUE
157,2022-01,Online,London,55-64,Silver,11,FALSE
158,2022-01,Branch,South East,45-54,Gold,18,FALSE
159,2022-01,Referral,Midlands,25-34,Silver,11,FALSE
160,2022-01,Branch,North,35-44,Gold,18,FALSE
161,2022-01,Online,London,25-34,Silver,11,FALSE
162,2022-01,Branch,Midlands,25-34,Silver,11,FALSE
163,2022-01,Online,South East,35-44,Classic,0,TRUE
164,2022-01,Branch,London,35-44,Platinum,28,FALSE
165,2022-01,Comparison Site,London,35-44,Silver,11,FALSE
166,2022-01,Online,London,55-64,Classic,0,TRUE
167,2022-01,Comparison Site,Scotland,18-24,Classic,0,TRUE
168,2022-01,Comparison Site,North,65+,Silver,0,TRUE
169,2022-01,Outbound,London,55-64,Gold,18,FALSE
170,2022-01,Branch,London,65+,Platinum,28,FALSE
171,2022-01,Outbound,North,25-34,Platinum,0,TRUE
172,2022-01,Online,South East,25-34,Silver,0,TRUE
173,2022-01,Broker/IFA,Midlands,25-34,Platinum,28,FALSE
174,2022-01,Online,North,35-44,Gold,18,FALSE
175,2022-01,Branch,South East,18-24,Gold,18,FALSE
176,2022-01,Outbound,Midlands,35-44,Classic,0,FALSE
177,2022-01,Broker/IFA,South East,35-44,Platinum,28,FALSE
178,2022-01,Comparison Site,South East,35-44,Classic,0,TRUE
179,2022-01,Referral,South East,18-24,Silver,11,FALSE
180,2022-01,Online,Scotland,25-34,Gold,18,FALSE
181,2022-01,Referral,Midlands,35-44,Gold,18,FALSE
182,2022-01,Online,Scotland,25-34,Classic,0,FALSE
183,2022-01,Online,London,35-44,Gold,0,TRUE
184,2022-01,Branch,North,35-44,Silver,11,FALSE
185,2022-01,Outbound,Scotland,25-34,Silver,0,TRUE
186,2022-01,Online,Midlands,18-24,Silver,0,TRUE
187,2022-01,Comparison Site,North,65+,Silver,0,TRUE
188,2022-01,Comparison Site,North,18-24,Silver,11,FALSE
189,2022-01,Comparison Site,London,25-34,Classic,0,FALSE
190,2022-01,Comparison Site,Scotland,35-44,Classic,0,FALSE
191,2022-01,Branch,Scotland,65+,Gold,18,FALSE
192,2022-01,Outbound,South East,55-64,Classic,0,TRUE
193,2022-01,Comparison Site,North,35-44,Silver,11,FALSE
194,2022-01,Referral,North,65+,Gold,18,FALSE
195,2022-01,Broker/IFA,London,25-34,Gold,18,FALSE
196,2022-01,Branch,North,18-24,Gold,18,FALSE
197,2022-01,Referral,London,25-34,Platinum,28,FALSE
198,2022-01,Comparison Site,North,35-44,Silver,0,TRUE
199,2022-01,Broker/IFA,London,65+,Platinum,28,FALSE
200,2022-01,Outbound,London,55-64,Classic,0,FALSE
201,2022-01,Comparison Site,South East,35-44,Classic,0,TRUE
202,2022-01,Outbound,North,25-34,Gold,18,FALSE
203,2022-01,Comparison Site,North,18-24,Silver,0,TRUE
204,2022-01,Comparison Site,London,25-34,Classic,0,FALSE
205,2022-01,Broker/IFA,North,45-54,Gold,18,FALSE
206,2022-01,Branch,North,25-34,Gold,18,FALSE
207,2022-01,Outbound,North,35-44,Classic,0,FALSE
208,2022-01,Online,London,35-44,Silver,0,TRUE
209,2022-01,Online,Midlands,35-44,Classic,0,FALSE
210,2022-01,Comparison Site,London,35-44,Gold,0,TRUE
211,2022-01,Online,Scotland,55-64,Platinum,0,TRUE
212,2022-01,Online,Wales & NI,35-44,Platinum,0,TRUE
213,2022-01,Comparison Site,London,18-24,Silver,0,TRUE
214,2022-01,Online,London,35-44,Gold,0,TRUE
215,2022-01,Branch,North,55-64,Silver,11,FALSE
216,2022-01,Comparison Site,Wales & NI,45-54,Silver,11,FALSE
217,2022-01,Comparison Site,South East,35-44,Silver,11,FALSE
218,2022-01,Online,London,55-64,Classic,0,TRUE
219,2022-01,Comparison Site,London,18-24,Silver,11,FALSE
220,2022-01,Referral,Wales & NI,45-54,Silver,11,FALSE
221,2022-01,Outbound,Wales & NI,25-34,Classic,0,FALSE
222,2022-01,Broker/IFA,London,25-34,Platinum,0,TRUE
223,2022-01,Referral,North,35-44,Platinum,28,FALSE
224,2022-01,Outbound,Midlands,25-34,Silver,11,FALSE
225,2022-01,Outbound,South East,55-64,Classic,0,FALSE
226,2022-01,Outbound,Scotland,45-54,Classic,0,TRUE
227,2022-01,Online,Midlands,18-24,Gold,18,FALSE
228,2022-01,Online,Scotland,35-44,Silver,11,FALSE
229,2022-01,Comparison Site,London,18-24,Classic,0,TRUE
230,2022-01,Outbound,Midlands,18-24,Silver,11,FALSE
231,2022-01,Online,London,35-44,Silver,11,FALSE
232,2022-01,Branch,North,35-44,Classic,0,FALSE
233,2022-01,Referral,North,55-64,Silver,11,FALSE
234,2022-01,Branch,Midlands,25-34,Silver,11,FALSE
235,2022-01,Referral,Midlands,25-34,Platinum,0,TRUE
236,2022-01,Online,Wales & NI,25-34,Silver,0,TRUE
237,2022-01,Online,South East,25-34,Classic,0,FALSE
238,2022-01,Referral,London,55-64,Gold,18,FALSE
239,2022-01,Comparison Site,London,45-54,Gold,18,FALSE
240,2022-01,Branch,North,45-54,Gold,18,FALSE
241,2022-01,Comparison Site,London,35-44,Classic,0,TRUE
242,2022-01,Referral,London,45-54,Gold,18,FALSE
243,2022-01,Referral,Midlands,45-54,Silver,11,FALSE
244,2022-01,Comparison Site,North,55-64,Classic,0,FALSE
245,2022-01,Branch,South East,45-54,Classic,0,TRUE
246,2022-01,Branch,Wales & NI,55-64,Platinum,28,FALSE
247,2022-01,Outbound,South East,35-44,Gold,0,TRUE
248,2022-01,Online,London,45-54,Silver,0,TRUE
249,2022-01,Branch,South East,55-64,Silver,11,FALSE
250,2022-01,Online,South East,35-44,Classic,0,TRUE
251,2022-01,Comparison Site,London,25-34,Classic,0,FALSE
252,2022-01,Comparison Site,North,45-54,Silver,0,TRUE
253,2022-01,Outbound,South East,45-54,Gold,0,TRUE
254,2022-01,Branch,London,25-34,Classic,0,FALSE
255,2022-01,Comparison Site,Midlands,55-64,Silver,0,TRUE
256,2022-01,Online,London,35-44,Classic,0,FALSE
257,2022-01,Broker/IFA,South East,65+,Gold,18,FALSE
258,2022-01,Outbound,South East,45-54,Silver,11,FALSE
259,2022-01,Referral,London,35-44,Classic,0,FALSE
260,2022-01,Outbound,Scotland,65+,Silver,0,TRUE
261,2022-01,Branch,London,45-54,Platinum,28,FALSE
262,2022-01,Online,Scotland,45-54,Platinum,28,FALSE
263,2022-01,Branch,Scotland,55-64,Platinum,0,TRUE
264,2022-01,Online,South East,25-34,Silver,0,TRUE
265,2022-01,Online,South East,45-54,Platinum,28,FALSE
266,2022-01,Online,North,35-44,Silver,0,TRUE
267,2022-01,Comparison Site,South East,35-44,Classic,0,TRUE
268,2022-01,Branch,South East,35-44,Platinum,28,FALSE
269,2022-01,Branch,Midlands,25-34,Classic,0,FALSE
270,2022-01,Branch,South East,65+,Platinum,28,FALSE
271,2022-01,Comparison Site,North,25-34,Silver,11,FALSE
272,2022-01,Outbound,South East,35-44,Gold,18,FALSE
273,2022-01,Outbound,Midlands,45-54,Classic,0,FALSE
274,2022-01,Comparison Site,London,35-44,Silver,0,TRUE
275,2022-01,Branch,North,35-44,Gold,0,TRUE
276,2022-01,Outbound,North,35-44,Classic,0,TRUE
277,2022-01,Branch,London,45-54,Gold,18,FALSE
278,2022-01,Referral,South East,35-44,Silver,11,FALSE
279,2022-01,Comparison Site,London,45-54,Gold,0,TRUE
280,2022-01,Online,Scotland,35-44,Classic,0,TRUE
1,2022-02,Comparison Site,Scotland,25-34,Classic,0,FALSE
2,2022-02,Online,London,55-64,Silver,11,FALSE
3,2022-02,Branch,South East,25-34,Platinum,28,FALSE
4,2022-02,Referral,London,25-34,Silver,0,TRUE
5,2022-02,Comparison Site,South East,35-44,Silver,11,FALSE
6,2022-02,Branch,South East,35-44,Gold,18,FALSE
7,2022-02,Outbound,Scotland,45-54,Silver,11,FALSE
8,2022-02,Online,South East,45-54,Silver,11,FALSE
9,2022-02,Online,North,35-44,Silver,11,FALSE
10,2022-02,Broker/IFA,Scotland,18-24,Gold,0,TRUE
11,2022-02,Comparison Site,South East,18-24,Classic,0,TRUE
12,2022-02,Referral,Scotland,18-24,Gold,18,FALSE
13,2022-02,Comparison Site,London,25-34,Classic,0,TRUE
14,2022-02,Online,Midlands,45-54,Silver,11,FALSE
16,2022-02,Comparison Site,London,25-34,Classic,0,TRUE
18,2022-02,Comparison Site,London,45-54,Classic,0,TRUE
19,2022-02,Broker/IFA,South East,55-64,Platinum,28,FALSE
20,2022-02,Broker/IFA,Scotland,55-64,Silver,11,FALSE
21,2022-02,Referral,Midlands,35-44,Silver,11,FALSE
22,2022-02,Broker/IFA,London,55-64,Platinum,28,FALSE
23,2022-02,Online,North,35-44,Silver,11,FALSE
24,2022-02,Broker/IFA,North,55-64,Platinum,28,FALSE
25,2022-02,Branch,North,45-54,Silver,0,TRUE
26,2022-02,Branch,Midlands,35-44,Silver,11,FALSE
27,2022-02,Online,North,25-34,Silver,11,FALSE
28,2022-02,Comparison Site,London,45-54,Silver,0,TRUE
29,2022-02,Comparison Site,Wales & NI,45-54,Gold,18,FALSE
30,2022-02,Referral,North,65+,Classic,0,FALSE
32,2022-02,Referral,Scotland,45-54,Gold,18,FALSE
33,2022-02,Online,London,55-64,Platinum,0,TRUE
34,2022-02,Comparison Site,South East,55-64,Gold,18,FALSE
36,2022-02,Comparison Site,Scotland,45-54,Classic,0,FALSE
37,2022-02,Broker/IFA,London,35-44,Platinum,0,TRUE
38,2022-02,Outbound,Scotland,35-44,Classic,0,FALSE
39,2022-02,Online,London,45-54,Silver,11,FALSE
40,2022-02,Referral,Midlands,25-34,Silver,0,TRUE
41,2022-02,Comparison Site,South East,65+,Classic,0,TRUE
42,2022-02,Online,Wales & NI,35-44,Silver,11,FALSE
43,2022-02,Branch,London,18-24,Gold,18,FALSE
44,2022-02,Outbound,North,35-44,Classic,0,FALSE
45,2022-02,Outbound,London,35-44,Silver,0,TRUE
46,2022-02,Broker/IFA,Midlands,25-34,Gold,18,FALSE
47,2022-02,Comparison Site,North,25-34,Silver,0,TRUE
48,2022-02,Outbound,South East,45-54,Gold,18,FALSE
49,2022-02,Referral,South East,55-64,Silver,11,FALSE
50,2022-02,Online,South East,45-54,Gold,18,FALSE
51,2022-02,Outbound,Wales & NI,35-44,Classic,0,FALSE
52,2022-02,Online,Midlands,65+,Classic,0,FALSE
53,2022-02,Comparison Site,Midlands,45-54,Gold,0,TRUE
55,2022-02,Broker/IFA,London,45-54,Gold,18,FALSE
56,2022-02,Online,Midlands,18-24,Gold,18,FALSE
57,2022-02,Comparison Site,North,25-34,Silver,0,TRUE
58,2022-02,Comparison Site,Midlands,18-24,Classic,0,TRUE
59,2022-02,Online,London,35-44,Classic,0,FALSE
60,2022-02,Branch,London,25-34,Gold,18,FALSE
61,2022-02,Comparison Site,South East,35-44,Classic,0,FALSE
62,2022-02,Comparison Site,Midlands,18-24,Gold,0,TRUE
63,2022-02,Branch,Midlands,65+,Silver,11,FALSE
64,2022-02,Online,North,25-34,Classic,0,FALSE
65,2022-02,Referral,London,18-24,Classic,0,FALSE
66,2022-02,Comparison Site,South East,55-64,Classic,0,TRUE
67,2022-02,Branch,South East,65+,Platinum,28,FALSE
68,2022-02,Referral,North,45-54,Silver,11,FALSE
69,2022-02,Online,South East,35-44,Silver,11,FALSE
70,2022-02,Outbound,South East,25-34,Silver,0,TRUE
71,2022-02,Outbound,Midlands,45-54,Silver,11,FALSE
72,2022-02,Online,North,55-64,Silver,11,FALSE
73,2022-02,Online,Scotland,25-34,Gold,0,TRUE
74,2022-02,Branch,Scotland,25-34,Silver,11,FALSE
75,2022-02,Broker/IFA,Midlands,35-44,Gold,18,FALSE
76,2022-02,Outbound,South East,25-34,Silver,0,TRUE
77,2022-02,Branch,South East,25-34,Platinum,28,FALSE
78,2022-02,Comparison Site,South East,25-34,Classic,0,TRUE
79,2022-02,Online,Wales & NI,25-34,Silver,11,FALSE
80,2022-02,Comparison Site,Scotland,35-44,Silver,11,FALSE
81,2022-02,Comparison Site,Midlands,18-24,Gold,0,TRUE
82,2022-02,Outbound,South East,35-44,Silver,0,TRUE
83,2022-02,Broker/IFA,London,18-24,Classic,0,FALSE
84,2022-02,Comparison Site,South East,25-34,Classic,0,FALSE
85,2022-02,Online,North,35-44,Gold,0,TRUE
86,2022-02,Comparison Site,South East,35-44,Silver,11,FALSE
87,2022-02,Branch,Midlands,35-44,Gold,18,FALSE
88,2022-02,Branch,London,35-44,Gold,18,FALSE
89,2022-02,Comparison Site,London,25-34,Classic,0,FALSE
90,2022-02,Online,Scotland,55-64,Classic,0,FALSE
91,2022-02,Online,London,35-44,Gold,0,TRUE
92,2022-02,Comparison Site,Midlands,45-54,Classic,0,FALSE
93,2022-02,Online,London,18-24,Platinum,28,FALSE
94,2022-02,Online,South East,18-24,Silver,0,TRUE
95,2022-02,Branch,Wales & NI,25-34,Silver,0,TRUE
96,2022-02,Comparison Site,Scotland,45-54,Classic,0,TRUE
97,2022-02,Branch,South East,55-64,Gold,18,FALSE
98,2022-02,Comparison Site,North,35-44,Silver,11,FALSE
99,2022-02,Branch,South East,18-24,Gold,18,FALSE
100,2022-02,Branch,South East,25-34,Platinum,28,FALSE
101,2022-02,Referral,Midlands,45-54,Classic,0,TRUE
102,2022-02,Online,South East,25-34,Classic,0,TRUE
103,2022-02,Comparison Site,South East,35-44,Gold,0,TRUE
104,2022-02,Outbound,North,35-44,Silver,0,TRUE
105,2022-02,Referral,North,18-24,Silver,0,TRUE
106,2022-02,Comparison Site,North,35-44,Classic,0,FALSE
107,2022-02,Comparison Site,London,45-54,Classic,0,TRUE
108,2022-02,Comparison Site,South East,35-44,Silver,0,TRUE
109,2022-02,Branch,London,55-64,Silver,11,FALSE
110,2022-02,Referral,South East,18-24,Classic,0,TRUE
111,2022-02,Referral,North,25-34,Silver,0,TRUE
112,2022-02,Online,London,25-34,Platinum,28,FALSE
113,2022-02,Referral,North,35-44,Gold,18,FALSE
114,2022-02,Comparison Site,North,18-24,Classic,0,FALSE
115,2022-02,Comparison Site,Midlands,25-34,Silver,0,TRUE
116,2022-02,Comparison Site,South East,35-44,Classic,0,TRUE
117,2022-02,Comparison Site,South East,18-24,Platinum,0,TRUE
118,2022-02,Comparison Site,Scotland,25-34,Classic,0,TRUE
119,2022-02,Comparison Site,South East,35-44,Silver,11,FALSE
120,2022-02,Outbound,Midlands,55-64,Silver,11,FALSE
121,2022-02,Comparison Site,North,25-34,Classic,0,TRUE
122,2022-02,Comparison Site,Scotland,25-34,Silver,0,TRUE
123,2022-02,Comparison Site,London,55-64,Silver,0,TRUE
124,2022-02,Comparison Site,North,45-54,Classic,0,TRUE
126,2022-02,Outbound,London,45-54,Silver,0,TRUE
128,2022-02,Broker/IFA,Midlands,25-34,Gold,18,FALSE
129,2022-02,Comparison Site,Midlands,35-44,Silver,11,FALSE
130,2022-02,Outbound,North,35-44,Silver,11,FALSE
131,2022-02,Comparison Site,North,25-34,Silver,11,FALSE
132,2022-02,Branch,North,25-34,Platinum,28,FALSE
133,2022-02,Branch,Wales & NI,45-54,Gold,18,FALSE
134,2022-02,Outbound,London,45-54,Silver,0,TRUE
135,2022-02,Comparison Site,Wales & NI,25-34,Classic,0,FALSE
136,2022-02,Referral,London,25-34,Silver,11,FALSE
137,2022-02,Referral,South East,25-34,Platinum,28,FALSE
138,2022-02,Branch,Wales & NI,25-34,Silver,11,FALSE
139,2022-02,Outbound,Wales & NI,55-64,Classic,0,FALSE
140,2022-02,Branch,North,45-54,Gold,18,FALSE
141,2022-02,Referral,Wales & NI,35-44,Platinum,28,FALSE
142,2022-02,Comparison Site,London,65+,Gold,18,FALSE
143,2022-02,Comparison Site,Midlands,35-44,Classic,0,FALSE
144,2022-02,Branch,North,35-44,Silver,11,FALSE
145,2022-02,Broker/IFA,Scotland,55-64,Platinum,28,FALSE
146,2022-02,Comparison Site,Midlands,35-44,Classic,0,TRUE
147,2022-02,Comparison Site,London,25-34,Classic,0,FALSE
149,2022-02,Branch,South East,35-44,Classic,0,FALSE
150,2022-02,Online,Wales & NI,18-24,Classic,0,TRUE
151,2022-02,Broker/IFA,North,25-34,Gold,18,FALSE
152,2022-02,Referral,Midlands,35-44,Platinum,28,FALSE
153,2022-02,Outbound,Wales & NI,45-54,Silver,0,TRUE
154,2022-02,Online,Scotland,25-34,Silver,0,TRUE
155,2022-02,Comparison Site,London,25-34,Classic,0,TRUE
156,2022-02,Comparison Site,Midlands,35-44,Silver,0,TRUE
157,2022-02,Online,London,55-64,Silver,11,FALSE
158,2022-02,Branch,South East,45-54,Gold,18,FALSE
159,2022-02,Referral,Midlands,25-34,Silver,11,FALSE
160,2022-02,Branch,North,35-44,Gold,18,FALSE
161,2022-02,Online,London,25-34,Gold,18,FALSE
162,2022-02,Branch,Midlands,25-34,Silver,11,FALSE
163,2022-02,Online,South East,35-44,Classic,0,TRUE
164,2022-02,Branch,London,35-44,Platinum,28,FALSE
165,2022-02,Comparison Site,London,35-44,Silver,11,FALSE
166,2022-02,Online,London,55-64,Silver,0,TRUE
168,2022-02,Comparison Site,North,65+,Silver,0,TRUE
169,2022-02,Outbound,London,55-64,Gold,18,FALSE
170,2022-02,Branch,London,65+,Platinum,28,FALSE
171,2022-02,Outbound,North,25-34,Platinum,0,TRUE
172,2022-02,Online,South East,25-34,Silver,0,TRUE
173,2022-02,Broker/IFA,Midlands,25-34,Platinum,28,FALSE
174,2022-02,Online,North,35-44,Gold,18,FALSE
175,2022-02,Branch,South East,18-24,Gold,18,FALSE
176,2022-02,Outbound,Midlands,35-44,Classic,0,FALSE
177,2022-02,Broker/IFA,South East,35-44,Platinum,28,FALSE
178,2022-02,Comparison Site,South East,35-44,Classic,0,TRUE
179,2022-02,Referral,South East,18-24,Silver,11,FALSE
180,2022-02,Online,Scotland,25-34,Gold,18,FALSE
181,2022-02,Referral,Midlands,35-44,Gold,18,FALSE
182,2022-02,Online,Scotland,25-34,Classic,0,FALSE
183,2022-02,Online,London,35-44,Gold,0,TRUE
184,2022-02,Branch,North,35-44,Silver,11,FALSE
