signup_month,last_active,tenure_months,channel,age_band,region,first_plan,last_plan,total_revenue,max_paid,joined_on_promo,ever_paid,churned,reason_code
2022-01,2024-12,36,Online,45-54,South East,Gold,Platinum,868,28,False,True,False,
2022-01,2023-07,19,Outbound,35-44,Wales & NI,Classic,Classic,0,0,False,False,True,Unknown
2022-01,2022-04,4,Online,65+,Midlands,Classic,Classic,0,0,False,False,True,Switched provider
2022-01,2022-05,5,Comparison Site,45-54,Midlands,Silver,Silver,0,0,True,False,True,Fees too high
2022-01,2022-01,1,Online,35-44,South East,Silver,Silver,11,11,False,True,True,Switched provider
2022-01,2024-12,36,Broker/IFA,45-54,London,Gold,Classic,440,18,False,True,False,
2022-01,2022-09,9,Online,18-24,Midlands,Gold,Gold,162,18,False,True,True,Unknown
2022-01,2024-12,36,Comparison Site,25-34,North,Classic,Gold,414,18,True,True,False,
2022-01,2022-12,12,Comparison Site,18-24,Midlands,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2022-03,3,Online,35-44,London,Classic,Classic,0,0,False,False,True,Switched provider
2022-01,2024-12,36,Branch,25-34,London,Gold,Platinum,658,28,False,True,False,
2022-01,2022-12,12,Comparison Site,35-44,South East,Classic,Classic,0,0,False,False,True,
2022-01,2022-09,9,Comparison Site,18-24,Midlands,Gold,Gold,54,18,True,True,True,Switched provider
2022-01,2024-12,36,Branch,65+,Midlands,Silver,Gold,524,28,False,True,False,
2022-01,2022-10,10,Online,25-34,North,Classic,Classic,0,0,False,False,True,Switched provider
2022-01,2022-05,5,Referral,18-24,London,Classic,Classic,0,0,False,False,True,
2022-01,2022-02,2,Comparison Site,55-64,South East,Classic,Classic,0,0,True,False,True,
2022-01,2024-12,36,Branch,65+,South East,Gold,Gold,958,28,False,True,False,
2022-01,2024-12,36,Referral,45-54,North,Silver,Platinum,727,28,False,True,False,
2022-01,2022-05,5,Online,35-44,South East,Silver,Silver,55,11,False,True,True,
2022-01,2024-12,36,Outbound,25-34,South East,Silver,Silver,330,11,True,True,False,
2022-01,2022-08,8,Outbound,45-54,Midlands,Silver,Classic,44,11,False,True,True,
2022-01,2022-02,2,Online,55-64,North,Silver,Silver,22,11,False,True,True,Poor service
2022-01,2022-04,4,Online,25-34,Scotland,Gold,Gold,0,0,True,False,True,Poor service
2022-01,2024-01,25,Branch,25-34,Scotland,Classic,Gold,411,18,False,True,True,Fees too high
2022-01,2024-12,36,Broker/IFA,35-44,Midlands,Gold,Platinum,878,28,False,True,False,
2022-01,2024-12,36,Outbound,25-34,South East,Silver,Classic,286,11,True,True,False,
2022-01,2024-12,36,Branch,25-34,South East,Platinum,Gold,808,28,False,True,False,
2022-01,2022-03,3,Comparison Site,25-34,South East,Classic,Classic,0,0,True,False,True,
2022-01,2022-09,9,Online,25-34,Wales & NI,Silver,Classic,77,11,False,True,True,Switched provider
2022-01,2024-12,36,Comparison Site,35-44,Scotland,Silver,Gold,564,18,False,True,False,
2022-01,2024-12,36,Comparison Site,18-24,Midlands,Gold,Gold,540,18,True,True,False,
2022-01,2022-11,11,Outbound,35-44,South East,Classic,Classic,22,11,True,True,True,
2022-01,2022-06,6,Broker/IFA,18-24,London,Classic,Silver,44,11,False,True,True,Poor service
2022-01,2024-12,36,Comparison Site,25-34,South East,Classic,Classic,99,11,False,True,False,
2022-01,2023-09,21,Online,35-44,North,Gold,Gold,270,18,True,True,True,Unhappy with perks
2022-01,2024-12,36,Comparison Site,35-44,South East,Silver,Gold,613,18,False,True,False,
2022-01,2024-12,36,Branch,35-44,Midlands,Gold,Platinum,659,28,False,True,False,
2022-01,2022-04,4,Branch,35-44,London,Gold,Gold,72,18,False,True,True,Unknown
2022-01,2022-05,5,Comparison Site,25-34,London,Classic,Silver,33,11,False,True,True,Poor service
2022-01,2022-02,2,Online,55-64,Scotland,Classic,Classic,0,0,False,False,True,
2022-01,2024-12,36,Online,35-44,London,Gold,Gold,484,18,True,True,False,
2022-01,2023-05,17,Comparison Site,45-54,Midlands,Classic,Silver,33,11,False,True,True,Fees too high
2022-01,2024-12,36,Online,18-24,London,Platinum,Platinum,1008,28,False,True,False,
2022-01,2022-07,7,Online,18-24,South East,Silver,Silver,11,11,True,True,True,
2022-01,2024-12,36,Branch,25-34,Wales & NI,Silver,Gold,600,28,True,True,False,
2022-01,2022-05,5,Comparison Site,45-54,Scotland,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2024-12,36,Branch,55-64,South East,Gold,Gold,778,28,False,True,False,
2022-01,2023-08,20,Comparison Site,35-44,North,Silver,Silver,220,11,False,True,True,Switched provider
2022-01,2024-12,36,Branch,18-24,South East,Gold,Gold,620,18,False,True,False,
2022-01,2024-12,36,Branch,25-34,South East,Platinum,Gold,868,28,False,True,False,
2022-01,2023-11,23,Referral,45-54,Midlands,Classic,Gold,131,18,True,True,True,
2022-01,2024-12,36,Online,25-34,South East,Classic,Silver,220,11,True,True,False,
2022-01,2022-02,2,Comparison Site,35-44,South East,Gold,Gold,0,0,True,False,True,
2022-01,2024-12,36,Outbound,35-44,North,Silver,Silver,330,11,True,True,False,
2022-01,2024-12,36,Referral,18-24,North,Gold,Gold,407,18,True,True,False,
2022-01,2022-03,3,Comparison Site,35-44,North,Classic,Classic,0,0,False,False,True,Switched provider
2022-01,2022-09,9,Comparison Site,45-54,London,Classic,Classic,0,0,True,False,True,Poor service
2022-01,2022-02,2,Comparison Site,35-44,South East,Silver,Silver,0,0,True,False,True,Fees too high
2022-01,2024-08,32,Branch,55-64,London,Classic,Classic,491,18,False,True,True,Bereavement
2022-01,2024-12,36,Referral,18-24,South East,Classic,Silver,187,11,True,True,False,
2022-01,2024-12,36,Referral,25-34,North,Silver,Platinum,542,28,True,True,False,
2022-01,2024-12,36,Online,25-34,London,Platinum,Gold,798,28,False,True,False,
2022-01,2022-02,2,Referral,35-44,North,Gold,Gold,36,18,False,True,True,Unhappy with perks
2022-01,2022-09,9,Comparison Site,18-24,North,Classic,Classic,0,0,False,False,True,Poor service
2022-01,2024-12,36,Comparison Site,25-34,Midlands,Silver,Gold,491,18,True,True,False,
2022-01,2023-04,16,Comparison Site,35-44,South East,Classic,Silver,110,11,True,True,True,Fees too high
2022-01,2022-09,9,Comparison Site,18-24,South East,Platinum,Platinum,84,28,True,True,True,Unhappy with perks
2022-01,2022-06,6,Comparison Site,25-34,Scotland,Classic,Classic,0,0,True,False,True,Switched provider
2022-01,2023-01,13,Comparison Site,35-44,South East,Classic,Classic,66,11,False,True,True,
2022-01,2024-12,36,Outbound,55-64,Midlands,Silver,Gold,466,18,False,True,False,
2022-01,2022-04,4,Comparison Site,25-34,North,Classic,Classic,0,0,True,False,True,
2022-01,2024-12,36,Comparison Site,25-34,Scotland,Silver,Gold,491,18,True,True,False,
2022-01,2022-05,5,Comparison Site,55-64,London,Silver,Silver,0,0,True,False,True,Fees too high
2022-01,2024-01,25,Comparison Site,45-54,North,Classic,Classic,0,0,True,False,True,Switched provider
2022-01,2022-01,1,Outbound,18-24,London,Classic,Classic,0,0,False,False,True,
2022-01,2022-11,11,Outbound,45-54,London,Silver,Classic,0,0,True,False,True,
2022-01,2022-01,1,Online,35-44,South East,Silver,Silver,0,0,True,False,True,
2022-01,2024-12,36,Broker/IFA,25-34,Midlands,Gold,Silver,550,18,False,True,False,
2022-01,2023-03,15,Comparison Site,35-44,Midlands,Silver,Silver,165,11,False,True,True,
2022-01,2023-08,20,Outbound,35-44,North,Silver,Classic,165,11,False,True,True,Unknown
2022-01,2022-08,8,Comparison Site,25-34,North,Silver,Gold,123,18,False,True,True,Fees too high
2022-01,2024-12,36,Branch,25-34,North,Platinum,Silver,836,28,False,True,False,
2022-01,2022-02,2,Branch,45-54,Wales & NI,Gold,Gold,36,18,False,True,True,Poor service
2022-01,2022-11,11,Outbound,45-54,London,Silver,Silver,55,11,True,True,True,Fees too high
2022-01,2023-02,14,Comparison Site,25-34,Wales & NI,Classic,Classic,0,0,False,False,True,
2022-01,2024-12,36,Referral,25-34,London,Silver,Gold,680,28,False,True,False,
2022-01,2024-12,36,Referral,25-34,South East,Platinum,Gold,868,28,False,True,False,
2022-01,2024-12,36,Branch,25-34,Wales & NI,Silver,Gold,503,18,False,True,False,
2022-01,2024-05,29,Outbound,55-64,Wales & NI,Classic,Silver,286,11,False,True,True,
2022-01,2024-12,36,Branch,45-54,North,Gold,Silver,571,18,False,True,False,
2022-01,2024-12,36,Referral,35-44,Wales & NI,Gold,Gold,658,28,False,True,False,
2022-01,2022-04,4,Comparison Site,65+,London,Gold,Gold,72,18,False,True,True,
2022-01,2024-12,36,Comparison Site,35-44,Midlands,Classic,Classic,0,0,False,False,False,
2022-01,2022-02,2,Branch,35-44,North,Silver,Silver,22,11,False,True,True,Unknown
2022-01,2024-12,36,Broker/IFA,55-64,Scotland,Platinum,Silver,901,28,False,True,False,
2022-01,2022-02,2,Comparison Site,35-44,Midlands,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2024-10,34,Comparison Site,25-34,London,Classic,Classic,22,11,False,True,True,Fees too high
2022-01,2022-01,1,Outbound,35-44,North,Gold,Gold,0,0,True,False,True,
2022-01,2024-12,36,Branch,35-44,South East,Classic,Platinum,665,28,False,True,False,
2022-01,2024-12,36,Online,18-24,Wales & NI,Classic,Gold,263,18,True,True,False,
2022-01,2024-12,36,Broker/IFA,25-34,North,Gold,Platinum,848,28,False,True,False,
2022-01,2024-12,36,Referral,35-44,Midlands,Platinum,Gold,928,28,False,True,False,
2022-01,2024-12,36,Outbound,45-54,Wales & NI,Silver,Silver,435,18,True,True,False,
2022-01,2022-07,7,Online,25-34,Scotland,Silver,Classic,0,0,True,False,True,Bereavement
2022-01,2023-03,15,Comparison Site,25-34,London,Silver,Classic,0,0,True,False,True,Fees too high
2022-01,2023-01,13,Comparison Site,35-44,Midlands,Silver,Silver,77,11,True,True,True,
2022-01,2022-04,4,Online,55-64,London,Silver,Silver,44,11,False,True,True,
2022-01,2024-12,36,Branch,45-54,South East,Gold,Silver,415,18,False,True,False,
2022-01,2022-04,4,Referral,25-34,Midlands,Silver,Silver,44,11,False,True,True,Switched provider
2022-01,2022-08,8,Branch,35-44,North,Gold,Platinum,174,28,False,True,True,Unhappy with perks
2022-01,2024-12,36,Online,25-34,London,Silver,Gold,641,18,False,True,False,
2022-01,2024-12,36,Branch,25-34,Midlands,Silver,Gold,627,18,False,True,False,
2022-01,2022-05,5,Online,35-44,South East,Classic,Classic,0,0,True,False,True,Poor service
2022-01,2024-12,36,Branch,35-44,London,Platinum,Platinum,888,28,False,True,False,
2022-01,2022-04,4,Comparison Site,35-44,London,Silver,Classic,22,11,False,True,True,Switched provider
2022-01,2023-05,17,Online,55-64,London,Classic,Classic,110,11,True,True,True,Poor service
2022-01,2022-01,1,Comparison Site,18-24,Scotland,Classic,Classic,0,0,True,False,True,
2022-01,2022-03,3,Comparison Site,65+,North,Silver,Silver,0,0,True,False,True,
2022-01,2024-12,36,Outbound,55-64,London,Gold,Gold,648,18,False,True,False,
2022-01,2024-12,36,Branch,65+,London,Platinum,Platinum,1008,28,False,True,False,
2022-01,2022-07,7,Outbound,25-34,North,Platinum,Platinum,28,28,True,True,True,
2022-01,2024-12,36,Online,25-34,South East,Silver,Gold,540,18,True,True,False,
2022-01,2023-06,18,Broker/IFA,25-34,Midlands,Platinum,Silver,447,28,False,True,True,Unknown
2022-01,2022-07,7,Online,35-44,North,Gold,Gold,126,18,False,True,True,Unhappy with perks
2022-01,2024-12,36,Branch,18-24,South East,Gold,Platinum,808,28,False,True,False,
2022-01,2022-06,6,Outbound,35-44,Midlands,Classic,Classic,0,0,False,False,True,Poor service
2022-01,2024-12,36,Broker/IFA,35-44,South East,Platinum,Gold,878,28,False,True,False,
2022-01,2022-04,4,Comparison Site,35-44,South East,Classic,Classic,0,0,True,False,True,
2022-01,2024-12,36,Referral,18-24,South East,Silver,Gold,753,28,False,True,False,
2022-01,2024-11,35,Online,25-34,Scotland,Gold,Platinum,940,28,False,True,True,Unhappy with perks
2022-01,2024-12,36,Referral,35-44,Midlands,Gold,Gold,908,28,False,True,False,
2022-01,2023-01,13,Online,25-34,Scotland,Classic,Classic,0,0,False,False,True,Poor service
2022-01,2024-11,35,Online,35-44,London,Gold,Platinum,782,28,True,True,True,Unhappy with perks
2022-01,2024-12,36,Branch,35-44,North,Silver,Gold,480,18,False,True,False,
2022-01,2024-04,28,Outbound,25-34,Scotland,Silver,Silver,242,11,True,True,True,Fees too high
2022-01,2022-02,2,Online,18-24,Midlands,Silver,Silver,0,0,True,False,True,Fees too high
2022-01,2024-05,29,Comparison Site,65+,North,Silver,Classic,121,11,True,True,True,
2022-01,2023-03,15,Comparison Site,18-24,North,Silver,Silver,165,11,False,True,True,
2022-01,2022-05,5,Comparison Site,25-34,London,Classic,Classic,0,0,False,False,True,
2022-01,2022-09,9,Comparison Site,35-44,Scotland,Classic,Classic,0,0,False,False,True,
2022-01,2024-12,36,Branch,65+,Scotland,Gold,Silver,609,28,False,True,False,
2022-01,2022-02,2,Outbound,55-64,South East,Classic,Classic,0,0,True,False,True,
2022-01,2024-11,35,Comparison Site,35-44,North,Silver,Silver,553,18,False,True,True,
2022-01,2024-04,28,Referral,65+,North,Gold,Gold,504,18,False,True,True,
2022-01,2022-02,2,Broker/IFA,25-34,London,Gold,Gold,36,18,False,True,True,
2022-01,2024-12,36,Branch,18-24,North,Gold,Silver,536,18,False,True,False,
2022-01,2023-11,23,Referral,25-34,London,Platinum,Gold,574,28,False,True,True,
2022-01,2024-12,36,Comparison Site,35-44,North,Silver,Classic,286,11,True,True,False,
2022-01,2023-10,22,Broker/IFA,65+,London,Platinum,Platinum,616,28,False,True,True,Poor service
2022-01,2022-01,1,Outbound,55-64,London,Classic,Classic,0,0,False,False,True,Unknown
2022-01,2022-10,10,Comparison Site,35-44,South East,Classic,Silver,44,11,True,True,True,Bereavement
2022-01,2024-06,30,Outbound,25-34,North,Gold,Gold,670,28,False,True,True,Unknown
2022-01,2022-11,11,Comparison Site,18-24,North,Silver,Silver,55,11,True,True,True,
2022-01,2022-02,2,Comparison Site,25-34,London,Classic,Classic,0,0,False,False,True,Poor service
2022-01,2023-06,18,Broker/IFA,45-54,North,Gold,Silver,247,18,False,True,True,
2022-01,2023-11,23,Branch,25-34,North,Gold,Gold,414,18,False,True,True,
2022-01,2022-01,1,Outbound,35-44,North,Classic,Classic,0,0,False,False,True,
2022-01,2024-12,36,Online,35-44,London,Silver,Gold,200,18,True,True,False,
2022-01,2024-04,28,Online,35-44,Midlands,Classic,Silver,99,11,False,True,True,Unknown
2022-01,2023-08,20,Comparison Site,35-44,London,Gold,Silver,168,18,True,True,True,Fees too high
2022-01,2024-12,36,Online,55-64,Scotland,Platinum,Gold,750,28,True,True,False,
2022-01,2024-12,36,Online,35-44,Wales & NI,Platinum,Gold,830,28,True,True,False,
2022-01,2023-01,13,Comparison Site,18-24,London,Silver,Classic,44,11,True,True,True,Fees too high
2022-01,2024-12,36,Online,35-44,London,Gold,Platinum,630,28,True,True,False,
2022-01,2024-12,36,Branch,55-64,North,Silver,Silver,392,18,False,True,False,
2022-01,2024-12,36,Comparison Site,45-54,Wales & NI,Silver,Classic,55,11,False,True,False,
2022-01,2024-12,36,Comparison Site,35-44,South East,Silver,Silver,396,11,False,True,False,
2022-01,2022-04,4,Online,55-64,London,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2023-01,13,Comparison Site,18-24,London,Silver,Classic,77,11,False,True,True,Switched provider
2022-01,2023-03,15,Referral,45-54,Wales & NI,Silver,Silver,165,11,False,True,True,Poor service
2022-01,2022-03,3,Outbound,25-34,Wales & NI,Classic,Classic,0,0,False,False,True,Poor service
2022-01,2024-10,34,Broker/IFA,25-34,London,Platinum,Classic,416,28,True,True,True,
2022-01,2024-12,36,Referral,35-44,North,Platinum,Silver,672,28,False,True,False,
2022-01,2022-04,4,Outbound,25-34,Midlands,Silver,Classic,22,11,False,True,True,Switched provider
2022-01,2022-06,6,Outbound,55-64,South East,Classic,Classic,0,0,False,False,True,Unknown
2022-01,2022-02,2,Outbound,45-54,Scotland,Classic,Classic,0,0,True,False,True,Unknown
2022-01,2024-12,36,Online,18-24,Midlands,Gold,Platinum,768,28,False,True,False,
2022-01,2022-01,1,Online,35-44,Scotland,Silver,Silver,11,11,False,True,True,Poor service
2022-01,2024-09,33,Comparison Site,18-24,London,Classic,Classic,0,0,True,False,True,
2022-01,2024-12,36,Outbound,18-24,Midlands,Silver,Silver,396,11,False,True,False,
2022-01,2024-02,26,Online,35-44,London,Silver,Classic,33,11,False,True,True,Unknown
2022-01,2022-03,3,Branch,35-44,North,Classic,Classic,0,0,False,False,True,
2022-01,2022-09,9,Referral,55-64,North,Silver,Silver,99,11,False,True,True,Switched provider
2022-01,2024-06,30,Branch,25-34,Midlands,Silver,Gold,477,18,False,True,True,Switched provider
2022-01,2022-06,6,Referral,25-34,Midlands,Platinum,Platinum,0,0,True,False,True,
2022-01,2024-12,36,Online,25-34,Wales & NI,Silver,Gold,533,18,True,True,False,
2022-01,2022-05,5,Online,25-34,South East,Classic,Classic,0,0,False,False,True,Poor service
2022-01,2023-06,18,Referral,55-64,London,Gold,Silver,254,18,False,True,True,Poor service
2022-01,2022-05,5,Comparison Site,45-54,London,Gold,Gold,90,18,False,True,True,
2022-01,2022-08,8,Branch,45-54,North,Gold,Gold,144,18,False,True,True,Poor service
2022-01,2022-12,12,Comparison Site,35-44,London,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2024-12,36,Referral,45-54,London,Gold,Platinum,658,28,False,True,False,
2022-01,2024-12,36,Referral,45-54,Midlands,Silver,Gold,181,18,False,True,False,
2022-01,2022-10,10,Comparison Site,55-64,North,Classic,Silver,22,11,False,True,True,Switched provider
2022-01,2022-03,3,Branch,45-54,South East,Classic,Silver,0,0,True,False,True,
2022-01,2024-12,36,Branch,55-64,Wales & NI,Platinum,Platinum,1008,28,False,True,False,
2022-01,2022-08,8,Outbound,35-44,South East,Gold,Silver,22,11,True,True,True,Fees too high
2022-01,2022-03,3,Online,45-54,London,Silver,Silver,0,0,True,False,True,Poor service
2022-01,2022-01,1,Branch,55-64,South East,Silver,Silver,11,11,False,True,True,Fees too high
2022-01,2024-12,36,Online,35-44,South East,Classic,Gold,378,18,True,True,False,
2022-01,2022-01,1,Comparison Site,25-34,London,Classic,Classic,0,0,False,False,True,Switched provider
2022-01,2022-02,2,Comparison Site,45-54,North,Silver,Silver,0,0,True,False,True,Poor service
2022-01,2022-10,10,Outbound,45-54,South East,Gold,Gold,72,18,True,True,True,
2022-01,2024-12,36,Branch,25-34,London,Classic,Platinum,619,28,False,True,False,
2022-01,2023-07,19,Comparison Site,55-64,Midlands,Silver,Silver,143,11,True,True,True,Fees too high
2022-01,2022-08,8,Online,35-44,London,Classic,Classic,0,0,False,False,True,Moved abroad
2022-01,2022-11,11,Broker/IFA,65+,South East,Gold,Silver,149,18,False,True,True,Poor service
2022-01,2024-12,36,Outbound,45-54,South East,Silver,Silver,132,11,False,True,False,
2022-01,2024-07,31,Referral,35-44,London,Classic,Silver,88,11,False,True,True,Fees too high
2022-01,2022-01,1,Outbound,65+,Scotland,Silver,Silver,0,0,True,False,True,
2022-01,2024-12,36,Branch,45-54,London,Platinum,Silver,887,28,False,True,False,
2022-01,2022-12,12,Online,45-54,Scotland,Platinum,Gold,296,28,False,True,True,
2022-01,2024-12,36,Branch,55-64,Scotland,Platinum,Platinum,710,28,True,True,False,
2022-01,2024-12,36,Online,25-34,South East,Silver,Platinum,455,28,True,True,False,
2022-01,2022-12,12,Online,45-54,South East,Platinum,Platinum,336,28,False,True,True,Switched provider
2022-01,2023-11,23,Online,35-44,North,Silver,Platinum,476,28,True,True,True,Poor service
2022-01,2022-07,7,Comparison Site,35-44,South East,Classic,Classic,0,0,True,False,True,
2022-01,2024-12,36,Branch,35-44,South East,Platinum,Silver,821,28,False,True,False,
2022-01,2024-12,36,Branch,25-34,Midlands,Classic,Gold,366,18,False,True,False,
2022-01,2024-12,36,Branch,65+,South East,Platinum,Gold,788,28,False,True,False,
2022-01,2024-07,31,Comparison Site,25-34,North,Silver,Silver,341,11,False,True,True,
2022-01,2023-03,15,Outbound,35-44,South East,Gold,Silver,207,18,False,True,True,
2022-01,2024-12,36,Outbound,45-54,Midlands,Classic,Gold,218,18,False,True,False,
2022-01,2024-12,36,Comparison Site,35-44,London,Silver,Silver,330,11,True,True,False,
2022-01,2024-12,36,Branch,35-44,North,Gold,Gold,540,18,True,True,False,
2022-01,2023-02,14,Outbound,35-44,North,Classic,Classic,0,0,True,False,True,Fees too high
2022-01,2024-12,36,Branch,45-54,London,Gold,Platinum,662,28,False,True,False,
2022-01,2024-12,36,Referral,35-44,South East,Silver,Silver,445,18,False,True,False,
2022-01,2024-06,30,Comparison Site,45-54,London,Gold,Silver,383,18,True,True,True,Switched provider
2022-01,2022-11,11,Online,35-44,Scotland,Classic,Classic,0,0,True,False,True,
2022-02,2022-06,5,Comparison Site,45-54,North,Classic,Classic,0,0,True,False,True,Fees too high
2022-02,2024-05,28,Online,18-24,London,Gold,Gold,396,18,True,True,True,Poor service
2022-02,2024-12,35,Online,25-34,South East,Silver,Gold,595,18,False,True,False,
2022-02,2024-04,27,Branch,35-44,Wales & NI,Gold,Platinum,576,28,False,True,True,
2022-02,2022-08,7,Comparison Site,25-34,London,Classic,Classic,0,0,True,False,True,Unknown
2022-02,2024-12,35,Referral,45-54,Midlands,Silver,Gold,724,28,False,True,False,
2022-02,2023-01,12,Online,35-44,North,Silver,Silver,99,11,False,True,True,Poor service
2022-02,2024-11,34,Branch,18-24,London,Classic,Gold,495,18,False,True,True,Unhappy with perks
2022-02,2024-12,35,Online,45-54,Midlands,Silver,Gold,642,28,True,True,False,
2022-02,2024-12,35,Online,45-54,Midlands,Silver,Silver,469,18,False,True,False,
2022-02,2022-02,1,Online,35-44,London,Silver,Silver,11,11,False,True,True,
2022-02,2024-12,35,Online,45-54,London,Classic,Gold,387,18,True,True,False,
2022-02,2022-11,10,Branch,25-34,South East,Platinum,Platinum,260,28,False,True,True,Unknown
2022-02,2022-03,2,Online,45-54,London,Silver,Silver,22,11,False,True,True,Switched provider
2022-02,2024-07,30,Online,35-44,South East,Silver,Platinum,753,28,False,True,True,
2022-02,2022-07,6,Referral,45-54,London,Classic,Classic,0,0,False,False,True,
2022-02,2024-12,35,Online,25-34,London,Classic,Classic,33,11,False,True,False,
2022-02,2023-12,23,Online,45-54,Midlands,Classic,Silver,165,11,False,True,True,Switched provider
2022-02,2024-12,35,Branch,25-34,South East,Classic,Gold,487,18,True,True,False,
2022-02,2023-02,13,Outbound,45-54,North,Gold,Gold,234,18,False,True,True,Poor service
2022-02,2024-12,35,Comparison Site,25-34,South East,Classic,Classic,0,0,True,False,False,
2022-02,2024-01,24,Referral,65+,Scotland,Gold,Silver,334,18,False,True,True,
2022-02,2022-04,3,Referral,45-54,London,Gold,Gold,0,0,True,False,True,
2022-02,2023-12,23,Comparison Site,25-34,South East,Classic,Classic,55,11,True,True,True,
2022-02,2024-12,35,Branch,45-54,North,Silver,Silver,580,28,False,True,False,
