acquisition_month,acquisition_channel,spend_gbp,new_customers,cac_gbp
2023-08,Online,7390.0,107,69.06542056074767
2023-08,Outbound,6792.0,53,128.1509433962264
2023-08,Referral,3374.0,56,60.25
2023-09,Branch,12198.0,73,167.0958904109589
2023-09,Broker/IFA,6637.0,35,189.62857142857143
2023-09,Comparison Site,5007.0,121,41.3801652892562
2023-09,Online,6940.0,98,70.81632653061224
2023-09,Outbound,6356.0,48,132.41666666666666
2023-09,Referral,2686.0,47,57.148936170212764
2023-10,Branch,11393.0,79,144.21518987341773
2023-10,Broker/IFA,5081.0,27,188.1851851851852
2023-10,Comparison Site,5072.0,131,38.717557251908396
2023-10,Online,8028.0,112,71.67857142857143
2023-10,Outbound,7145.0,59,121.10169491525424
2023-10,Referral,4416.0,69,64.0
2023-11,Branch,9311.0,60,155.18333333333334
2023-11,Broker/IFA,6537.0,33,198.0909090909091
2023-11,Comparison Site,5006.0,124,40.37096774193548
2023-11,Online,8541.0,117,73.0
2023-11,Outbound,7128.0,55,129.6
2023-11,Referral,3968.0,67,59.223880597014926
2023-12,Branch,13418.0,92,145.84782608695653
2023-12,Broker/IFA,6180.0,30,206.0
2023-12,Comparison Site,5272.0,142,37.12676056338028
2023-12,Online,8823.0,132,66.8409090909091
2023-12,Outbound,7342.0,66,111.24242424242425
2023-12,Referral,2883.0,50,57.66
2024-01,Branch,10550.0,66,159.84848484848484
2024-01,Broker/IFA,5242.0,27,194.14814814814815
2024-01,Comparison Site,6464.0,158,40.91139240506329
2024-01,Online,10727.0,153,70.11111111111111
2024-01,Outbound,8339.0,64,130.296875
2024-01,Referral,2797.0,50,55.94
2024-02,Branch,12487.0,79,158.0632911392405
2024-02,Broker/IFA,4764.0,27,176.44444444444446
2024-02,Comparison Site,6144.0,148,41.513513513513516
2024-02,Online,8876.0,122,72.75409836065573
2024-02,Outbound,8622.0,65,132.64615384615385
2024-02,Referral,4681.0,76,61.5921052631579
2024-03,Branch,12463.0,77,161.85714285714286
2024-03,Broker/IFA,6074.0,30,202.46666666666667
2024-03,Comparison Site,5270.0,132,39.92424242424242
2024-03,Online,7540.0,105,71.80952380952381
2024-03,Outbound,6486.0,58,111.82758620689656
2024-03,Referral,2945.0,50,58.9
2024-04,Branch,12278.0,81,151.58024691358025
2024-04,Broker/IFA,5123.0,24,213.45833333333334
2024-04,Comparison Site,6394.0,161,39.714285714285715
2024-04,Online,10029.0,144,69.64583333333333
2024-04,Outbound,8076.0,71,113.74647887323944
2024-04,Referral,2439.0,44,55.43181818181818
2024-05,Branch,11106.0,69,160.95652173913044
2024-05,Broker/IFA,6304.0,33,191.03030303030303
2024-05,Comparison Site,6261.0,147,42.59183673469388
2024-05,Online,10533.0,151,69.75496688741723
2024-05,Outbound,9022.0,71,127.07042253521126
2024-05,Referral,5054.0,79,63.9746835443038
2024-06,Branch,13465.0,88,153.01136363636363
2024-06,Broker/IFA,7825.0,40,195.625
2024-06,Comparison Site,6951.0,169,41.1301775147929
2024-06,Online,8862.0,134,66.13432835820896
2024-06,Outbound,8141.0,64,127.203125
2024-06,Referral,4056.0,71,57.12676056338028
2024-07,Branch,12489.0,81,154.1851851851852
2024-07,Broker/IFA,6232.0,32,194.75
2024-07,Comparison Site,6708.0,170,39.45882352941177
2024-07,Online,9108.0,135,67.46666666666667
2024-07,Outbound,6790.0,54,125.74074074074075
2024-07,Referral,2993.0,47,63.680851063829785
2024-08,Branch,14317.0,91,157.32967032967034
2024-08,Broker/IFA,9234.0,44,209.86363636363637
2024-08,Comparison Site,6975.0,161,43.32298136645963
2024-08,Online,8696.0,122,71.27868852459017
2024-08,Outbound,8643.0,73,118.3972602739726
2024-08,Referral,4282.0,73,58.657534246575345
2024-09,Branch,14501.0,104,139.43269230769232
2024-09,Broker/IFA,6706.0,31,216.32258064516128
2024-09,Comparison Site,6516.0,154,42.311688311688314
2024-09,Online,9209.0,129,71.3875968992248
2024-09,Outbound,9994.0,85,117.5764705882353
2024-09,Referral,3250.0,53,61.320754716981135
2024-10,Branch,13104.0,84,156.0
2024-10,Broker/IFA,7471.0,36,207.52777777777777
2024-10,Comparison Site,7119.0,170,41.87647058823529
2024-10,Online,9468.0,132,71.72727272727273
2024-10,Outbound,10067.0,82,122.76829268292683
2024-10,Referral,3673.0,67,54.82089552238806
2024-11,Branch,14121.0,96,147.09375
2024-11,Broker/IFA,6978.0,35,199.37142857142857
2024-11,Comparison Site,7509.0,191,39.31413612565445
2024-11,Online,12579.0,168,74.875
2024-11,Outbound,9002.0,74,121.64864864864865
2024-11,Referral,4992.0,85,58.72941176470588
2024-12,Branch,13802.0,90,153.35555555555555
2024-12,Broker/IFA,5342.0,27,197.85185185185185
2024-12,Comparison Site,7198.0,182,39.54945054945055
2024-12,Online,9074.0,132,68.74242424242425
2024-12,Outbound,11296.0,88,128.36363636363637
2024-12,Referral,4457.0,71,62.774647887323944
